Active electrons: 6
Active orbitals: 6
HF energy: -37.88137454081032
UCCSD energy: -37.917484580140616

Operator	Amplitude
10^ 9^ 2 1 	| -1.602879123790199e-06
10^ 11^ 2 1 	| 0.0005056081482830218
7^ 9^ 1 3 	| -2.7745941126606555e-06
7^ 11^ 1 3 	| 1.2268026938140344e-06
9^ 11^ 1 3 	| 1.8406699892267505e-07
6^ 7^ 4 1 	| -0.00119925773124897
6^ 9^ 4 1 	| 1.7804581724104072e-06
6^ 11^ 4 1 	| -2.7451601522178123e-07
8^ 7^ 4 1 	| 9.281017192885382e-07
10^ 7^ 4 1 	| 7.128330565428492e-07
8^ 9^ 4 1 	| -0.0011909332494905178
8^ 11^ 4 1 	| 1.2124815220733987e-06
10^ 9^ 4 1 	| -2.5193158111640093e-06
10^ 11^ 4 1 	| -0.0003434422193992371
7^ 9^ 1 5 	| -5.175685648189683e-07
7^ 11^ 1 5 	| -4.219645888302161e-07
9^ 11^ 1 5 	| 8.606222728449474e-07
6^ 7^ 2 3 	| 0.14319661024520908
6^ 9^ 2 3 	| -1.1172508356754548e-07
6^ 11^ 2 3 	| 2.088075086735398e-06
8^ 7^ 2 3 	| -1.9409629567879647e-06
10^ 7^ 2 3 	| -5.080000426409912e-07
8^ 9^ 2 3 	| 0.14201429572009547
8^ 11^ 2 3 	| 2.314088349156962e-06
10^ 9^ 2 3 	| 2.960714643674544e-06
10^ 11^ 2 3 	| 0.058789208740954536
6^ 8^ 2 4 	| -1.0535493803518077e-05
6^ 10^ 2 4 	| 4.6071822429074213e-07
8^ 10^ 2 4 	| 2.1833989632470578e-06
6^ 7^ 2 5 	| -0.10934526876895888
6^ 9^ 2 5 	| 1.1331379229424383e-05
6^ 11^ 2 5 	| -8.57384276204243e-06
8^ 7^ 2 5 	| -5.122702824779213e-06
10^ 7^ 2 5 	| -3.190936725818172e-06
8^ 9^ 2 5 	| -0.1091915698826056
8^ 11^ 2 5 	| 6.400280048678169e-07
10^ 9^ 2 5 	| 4.523314871696181e-06
10^ 11^ 2 5 	| 0.051228283770903535
6^ 7^ 4 3 	| -0.1091052322039964
6^ 9^ 4 3 	| -1.5915774492053572e-05
6^ 11^ 4 3 	| 2.8371091883468958e-06
8^ 7^ 4 3 	| 9.77759261477918e-06
10^ 7^ 4 3 	| 1.619253434736909e-06
8^ 9^ 4 3 	| -0.10929008016345984
8^ 11^ 4 3 	| -6.024358799723398e-06
10^ 9^ 4 3 	| -8.377578584721405e-07
10^ 11^ 4 3 	| 0.051243281208753544
7^ 9^ 3 5 	| -6.517299901741372e-06
7^ 11^ 3 5 	| 3.5583097457027176e-06
9^ 11^ 3 5 	| -1.2111684058875779e-05
6^ 7^ 4 5 	| 0.2089751462469171
6^ 9^ 4 5 	| -6.89478740150327e-07
6^ 11^ 4 5 	| 2.1490514534598888e-06
8^ 7^ 4 5 	| 3.821868246213123e-06
10^ 7^ 4 5 	| -3.3512727260605438e-06
8^ 9^ 4 5 	| 0.2099876757394654
8^ 11^ 4 5 	| -7.078028484418005e-06
10^ 9^ 4 5 	| -2.5317280409891726e-06
10^ 11^ 4 5 	| 0.0882947374621289
6^ 0 	| 2.9386008911884557e-07
8^ 0 	| 3.160316220060999e-08
10^ 0 	| 0.0001323107529569681
7^ 1 	| 2.9386008911884557e-07
9^ 1 	| 3.160316220060999e-08
11^ 1 	| 0.0001323107529569681
6^ 2 	| 5.489690568217428e-07
8^ 2 	| 6.476455055911775e-07
10^ 2 	| -0.006782679019622949
7^ 3 	| 5.489690568217428e-07
9^ 3 	| 6.476455055911775e-07
11^ 3 	| -0.006782679019622949
6^ 4 	| 2.2676511839093745e-06
8^ 4 	| -6.3029637154484e-06
10^ 4 	| 0.02477655734740393
7^ 5 	| 2.2676511839093745e-06
9^ 5 	| -6.3029637154484e-06
11^ 5 	| 0.02477655734740393
